391|1901-1940 OPRAVA UCL|$$a1901-1950$$7ch460576|648 7
31|1901-1940|$$a1901-1950$$7ch460576|648 7
1844|1775-1850 OPRAVA UCL|$$a1780-1850$$7ch460670|648 7
664|1771-1850 OPRAVA UCL|$$a1780-1850$$7ch460670|648 7
174|1775-1850|$$a1780-1850$$7ch460670|648 7
64|1771-1850|$$a1780-1850$$7ch460670|648 7
138|1848 OPRAVA UCL|$$a1848-1849$$7ch460639|648 7
241|1851-1890 OPRAVA UCL|$$a1851-1900$$7ch460575|648 7
21|1851-1890|$$a1851-1900$$7ch460575|648 7
1147|1901-1920 OPRAVA UCL|$$a1901-1920$$7ch1032672|648 7
68|1901-1920|$$a1901-1920$$7ch1032672|648 7
14|1945-1960|$$a1945-1968$$7ch460656|648 7
21|1945-1970 OPRAVA UCL|$$a1945-1970 |648 4
86|1951-1990 OPRAVA UCL|$$a1948-1989$$7ch460661|648 7
16|1951-1990|$$a1948-1989$$7ch460661|648 7
10|2. polovina 20. století|$$a1951-2000$$7ch460577|648 7
16|1981|$$a1981-1990$$7ch460586|648 7
1995|1901-2000 OPRAVA UCL|$$a20. století$$7ch460558|648 7
59|1901-2000|$$a20. století$$7ch460558|648 7
15|2000|$$a2000$$7ch969078|648 7
14|2010 OPRAVA UCL|$$a2010$$7ch967319|648 7
168|2000 OPRAVA UCL|$$a2000-2010|648 4
576|do 1770 OPRAVA UCL|$$astarší česká literatura|65004
37|do 1770|$$astarší česká literatura|65004
416|5.-14. stol. OPRAVA UCL|$$astředověká literatura$$7ph126230|65007
41|5.-14. stol.|$$astředověká literatura$$7ph126230|65007
47|1941-1970 OPRAVA UCL||
15|1969 OPRAVA UCL||
9|2019||
7|1984||
7|do 1800||
6|1959 OPRAVA UCL||
6|1969||
6|2009 OPRAVA UCL||
6|1939 OPRAVA UCL||
5|1751-1850 OPRAVA UCL||
5|od 1700 OPRAVA UCL||
5|2017||
5|2013||
5|1990-2015||
5|1989-2019||
5|2. pol. 20. stoletĂ­||
5|1929-1931 OPRAVA UCL||
5|0900 OPRAVA UCL||
5|1980||
5|2004||
4|1998||
4|19. stoletĂ­ OPRAVA UCL||
4|2016||
4|1950||
4|1945-1960 OPRAVA UCL||
4|1914||
4|1917||
4|1967||
4|1957 OPRAVA UCL||
4|1805-1848||
4|1941-1990 OPRAVA UCL||
4|2008-2017||
4|1999 OPRAVA UCL||
4|2001||
3|1947||
3|do 1945||
3|1955||
3|1956||
3|1953||
3|1981-1983||
3|1915||
3|1968||
3|1964||
3|1975 OPRAVA UCL||
3|1929||
3|1801-1840 OPRAVA UCL||
3|2018||
3|1929 OPRAVA UCL||
3|2008-2018||
3|2011 OPRAVA UCL||
3|1950-1970||
3|1958 OPRAVA UCL||
2|1949||
2|1944||
2|1808-1809||
2|1810-1811||
2|1901-1914||
2|1938-1989||
2|1988 OPRAVA UCL||
2|14.-18. stol.||
2|1918-1921||
2|1918-1920||
2|1845-1945||
2|1997-2016||
2|1967-1970 OPRAVA UCL||
2|od 1968||
2|1809-1810||
2|1945-1985||
2|1997||
2|1917-1968||
2|1942-1945||
2|1771-1860 OPRAVA UCL||
2|5.-14. stoletĂ­||
2|2015||
2|1957||
2|1959||
2|1958||
2|1945-1966 OPRAVA UCL||
2|1817-1818||
2|1771-1890 OPRAVA UCL||
2|1792-1848||
2|1945-1969 OPRAVA UCL||
2|1960||
2|1919-2019||
2|1938-1953||
2|1949 OPRAVA UCL||
2|1919||
2|1976 OPRAVA UCL||
2|1812-1813||
2|1781-1795||
2|1999-2019||
2|1911-1940 OPRAVA UCL||
2|1841-1890 OPRAVA UCL||
2|do 1989||
2|1781-1830 OPRAVA UCL||
2|10. lĂ©ta 21. stoletĂ­||
2|1941-1970||
2|1967 OPRAVA UCL||
2|1771-1780 OPRAVA UCL||
2|1985-1989||
2|1816-1817||
2|1880-1930||
2|XII.70||
2|1917 OPRAVA UCL||
2|1977||
2|1975||
2|1871-1890 OPRAVA UCL||
2|1921-1989||
2|1815-1816||
2|1891-1910 OPRAVA UCL||
2|1938-1948 OPRAVA UCL||
2|1963-1967||
2|1958-2018||
2|1811-1812||
2|1936||
2|1939||
2|1932-1942||
2|1818-1819||
