50|Svaz knihkupců a nakladatelů OPRAVA UCL|$$aSvaz českých knihkupců a nakladatelů $$7ko2004209408|61027
49|Vesnické divadlo|$$aVesnické divadlo$$7av2016918387|61027
48|Societas incognitorum eruditorum|$$aSocietas incognitorum (spolek)$$7kn20030715012|61027
46|Pen-klub OPRAVA UCL|$$aPEN-klub (Praha, Česko)$$7kn20030605005|61027
46|Klub přátel poezie OPRAVA UCL|$$aČeskoslovenský spisovatel, nakladatelství českého literárního fondu.$$7ko2009549580$$bKlub přátel poezie |61027
45|Komorní divadlo (Městská divadla pražská)|$$aKomorní divadlo|61024
45|Ivo Železný OPRAVA UCL|$$aIvo Železný (nakladatelství)$$7ko2002149231|61027
45|Divadlo X10|$$aDivadlo X10$$7av20211120935|61027
44|Český rozhlas Plus|$$aČeský rozhlas Plus$$7av20211115789|61027
42|KPČJ OPRAVA UCL|$$aKruh přátel českého jazyka$$7ko2003167960|61027
42|Evropský literární klub OPRAVA UCL|$$aEvropský literární klub (Praha, Česko)$$7kn20030514001|61027
40|Jatka78|$$aJatka 78 (kulturní centrum)$$7osa20191037644|61027
40|Česká Akademie OPRAVA UCL|$$aČeská akademie věd a umění$$7kn20010710168|61027
39|Armádní umělecké divadlo|$$aArmádní umělecké divadlo$$7ko2002162112|61027
38|Societas incognitorum eruditorum secunda|$$aSocietas incognitorum eruditorum secunda|61024
38|Moravské kolo spisovatelů|$$aMoravské kolo spisovatelů$$7av20211120948|61027
37|Společnost F. X. Šaldy OPRAVA UCL|$$aSpolečnost F.X. Šaldy$$7ko2003183667|61027
36|Spolek českých akademiků židů OPRAVA UCL|$$aSpolek českých akademiků židů$$7ko2017959727|61027
35|Zeyerův fond OPRAVA UCL|$$aFond Julia Zeyera|61024
35|Ústav slovenskej literatúry SAV OPRAVA UCL|$$aSlovenská akadémia vied.$$bÚstav slovenskej literatúry$$7kn20030530002|61027
35|Činoherní klub OPRAVA UCL|$$aČinoherní klub (Praha, Česko)$$7kn20010725072|61027
34|Večerní Brno (divadlo, Brno)|$$aVečerní Brno (divadlo)|61024
34|Nadace Jaroslava Foglara OPRAVA UCL|$$aSkautská nadace Jaroslava Foglara$$7ko2003195446|61027
33|Divadlo Julia Fučíka (Brno, Česko)|$$aDivadlo Julia Fučíka (Brno, Česko)$$7av20211120942|61027
32|Petrov (nakladatelství) OPRAVA UCL|$$aNakladatelství Petrov$$7kn20030228002|61027
32|Krajské oblastní divadlo Hradec Králové|$$aKrajské oblastní divadlo Hradec Králové (1949-1961)$$7av20211122353|61027
32|Komorní divadlo|$$aKomorní divadlo|61024
32|Český spisovatel OPRAVA UCL|$$aČeský spisovatel (nakladatelství)$$7xx0223542|61027
32|Argo OPRAVA UCL|$$aNakladatelství Argo$$7ko2002160146|61027
31|Ministerstvo kultury OPRAVA UCL|$$aČesko.$$bMinisterstvo kultury$$7kn20010725018|61027
31|Divadlo S. K. Neumanna OPRAVA UCL|$$aDivadlo S.K. Neumanna$$7ko2005293921|61027
30|Slavín OPRAVA UCL|$$aVyšehradský hřbitov.$$bSlavín$$7kn20040819002 |61027
30|PEN-klub OPRAVA UCL|$$aPEN-klub (Praha, Česko)$$7kn20030605005|61027
30|Křesťanská akademie OPRAVA UCL|$$aKřesťanská akademie v Římě$$7kn20020321274|61027
30|Divadlo E. F. Buriana OPRAVA UCL|$$aDivadlo E.F. Buriana$$7ko2002162113|61027
29|Ruch Wolność i Pokój (Svoboda a mír|$$aWolność i Pokój (hnutí)|61024
29|Mladé letá (nakladatelství) OPRAVA UCL|$$aMladé letá (firma)$$7ko2002149863|61027
29|Argo (nakladatelství) OPRAVA UCL|$$aNakladatelství Argo$$7ko2002160146|61027
28|Umělecká rada|$$aUmělecká rada|61024
28|Nezávislé mírové sdružení (občanská iniciativa)|$$aNezávislé mírové sdružení - Iniciativa za demilitarizaci společnosti|61024
26|Obec československých spisovatelů OPRAVA UCL|$$aObec československých spisovatelů|61024
26|Museum království českého OPRAVA UCL|$$aMuseum Království českého (Praha, Česko)$$7ko2004209435|61027
26|Jednota sv. Cyrila a Metoděje OPRAVA UCL|$$aMoravská národní jednota sv. Cyrilla a Methoda$$7kn20050317006|61027
26|Blok OPRAVA UCL|$$aBlok (nakladatelství)$$7xx0171586|61027
25|Oul OPRAVA UCL|$$aPodpůrný spolek hluchoněmých Oul$$7ko20191046068|61027
