1995|1901-2000 OPRAVA UCL|$$a20. století$$7ch460558|648 7
1844|1775-1850 OPRAVA UCL|$$a1780-1850$$7ch460670|648 7
1147|1901-1920 OPRAVA UCL|$$a1901-1920$$7ch1032672|648 7
664|1771-1850 OPRAVA UCL|$$a1780-1850$$7ch460670|648 7
576|do 1770 OPRAVA UCL|$$astarší česká literatura|65004
416|5.-14. stol. OPRAVA UCL|$$astředověká literatura$$7ph126230|65007
391|1901-1940 OPRAVA UCL|$$a1901-1950$$7ch460576|648 7
241|1851-1890 OPRAVA UCL|$$a1851-1900$$7ch460575|648 7
174|1775-1850|$$a1780-1850$$7ch460670|648 7
168|2000 OPRAVA UCL|$$a2000-2010|648 4
138|1848 OPRAVA UCL|$$a1848-1849$$7ch460639|648 7
86|1951-1990 OPRAVA UCL|$$a1948-1989$$7ch460661|648 7
68|1901-1920|$$a1901-1920$$7ch1032672|648 7
64|1771-1850|$$a1780-1850$$7ch460670|648 7
59|1901-2000|$$a20. století$$7ch460558|648 7
41|5.-14. stol.|$$astředověká literatura$$7ph126230|65007
37|do 1770|$$astarší česká literatura|65004
31|1901-1940|$$a1901-1950$$7ch460576|648 7
21|1945-1970 OPRAVA UCL|$$a1945-1970 |648 4
21|1851-1890|$$a1851-1900$$7ch460575|648 7
16|1981|$$a1981-1990$$7ch460586|648 7
16|1951-1990|$$a1948-1989$$7ch460661|648 7
15|2000|$$a2000$$7ch969078|648 7
14|2010 OPRAVA UCL|$$a2010$$7ch967319|648 7
14|1945-1960|$$a1945-1968$$7ch460656|648 7
10|2. polovina 20. století|$$a1951-2000$$7ch460577|648 7
