28||Poláček, Jiří OPRAVA UCL;;;;(více osob)
28||Pacltová, Jana OPRAVA UCL;;;;7001 a Pacltová, Jana
27||Říhová, Klára;;;;pravděpodobně není AUT
27||Zábojníková, Marcela OPRAVA UCL;;;;7001 a  Zábojníková, Marcela
27||Podskalská, Jana;;;;není AUT
27||Tomeš, Josef OPRAVA UCL;;;;1001	|a Tomeš, Josef, |d 1954- |7 jo20000080784
26||Šimeček, Zdeněk OPRAVA UCL;;;;1001	|a Šimeček, Zdeněk, |d 1929-2019 |7 jk01123016
26||Vašák, Pavel OPRAVA UCL;;;;1001	|a Vašák, Pavel, |d 1941-2011 |7 jk01141648
26||Taufer, Jiří OPRAVA UCL;;;;1001	|a Taufer, Jiří, |d 1911-1986 |7 jk01132099
26||Hloušková, Lenka;;;;není AUT
25||Fronková, Marie OPRAVA UCL;;;;7001 a Fronková, Marie
25||Lederer, Jan OPRAVA UCL;;;;7001 a Lederer, Jan 
24||Holý, Josef OPRAVA UCL;;;;7001 a Holý, Josef
23||Skutil, Jan OPRAVA UCL;;;;1001	|a Skutil, Jan, |d 1934-1998 |7 jk01111669
23||Valášek, Petr Kirjat;;;;není AUT
23||Braunová, Dana OPRAVA UCL;;;;7001 a Braunová, Dana
23||Kozák, Jan OPRAVA UCL;;;;1001	|a Kozák, Jan, |d 1921-1995 |7 jk01062556
23||Vyskočil, Ivan OPRAVA UCL;;;;1001	|a Vyskočil, Ivan, |d 1929- |7 jk01151228
23||Pustějovská, Ivana OPRAVA UCL;;;;7001 a Pustějovská, Ivana 
22||Strnadel, Josef OPRAVA UCL;;;;1001	|a Strnadel, Josef, |d 1912-1986 |7 jk01121473
22||Burian, Jan OPRAVA UCL;;;;1001	|a Burian, Jan, |d 1952- |7 jk01020364
21||čtk [Lidové noviny] OPRAVA UCL;;;;1102	|a Česká tisková kancelář |7 ko2003196051
21||(kul) [Mladá fronta Dnes] OPRAVA UCL;;;;7000 a (kul) c [Mladá fronta Dnes]
21||Smítalová, Petra;;;;1001	|a Smítalová, Petra |7 av20191046097
21||Kočová, Helena;;;;není AUT
20||lgtt [Týden] OPRAVA UCL;;;;7000 a lgtt c [Týden]
20||Švarcová, Jitka OPRAVA UCL;;;;7001 a Švarcová, Jitka 
20||Veselý, Jiří OPRAVA UCL;;;;(více osob)
20||(jv) [Amatérská scéna] OPRAVA UCL;;;;7000 a (jv) c [Amatérská scéna]
19||Beneš, Zdeněk OPRAVA UCL;;;;
19||-red- [K revue] OPRAVA UCL;;;;
19||Stulírová, Markéta OPRAVA UCL;;;;
19||Koláčná, Lucie OPRAVA UCL;;;;
19||Procházková, Květa OPRAVA UCL;;;;
19||Smolka, C.;;;;
19||Kodlová, Alena OPRAVA UCL;;;;
19||Müller, Jaroslav;;;;
19||Pešková, Hana OPRAVA UCL;;;;
19||Bělohradský, Václav OPRAVA UCL;;;;
18||Pech, Tomáš OPRAVA UCL;;;;
18||Marek, Jiří OPRAVA UCL;;;;
18||Voráček, Jaroslav OPRAVA UCL;;;;
18||Matys, Rudolf OPRAVA UCL;;;;
18||Marek, Pavel OPRAVA UCL;;;;
18||Mareš, Jan OPRAVA UCL;;;;
18||Kudláčová, Kateřina;;;;
18||Bečka, Jiří OPRAVA UCL;;;;
18||Červenková, Zdenka OPRAVA UCL;;;;
17||Bílá, Inka OPRAVA UCL;;;;
17||Nejedlý, Zdeněk OPRAVA UCL;;;;
17||Krejčí, Karel OPRAVA UCL;;;;
16||Čermák, František OPRAVA UCL;;;;
16||Stejskal, Václav OPRAVA UCL;;;;
16||Jung, Jaroslav OPRAVA UCL;;;;
16||Soukup, Petr;;;;
16||Vtípilová, Lenka OPRAVA UCL;;;;
16||Cimická, Dagmar OPRAVA UCL;;;;
16||Novotný, Michal OPRAVA UCL;;;;
16||Prokop, Jiří OPRAVA UCL;;;;
16||Kapek, Ladislav OPRAVA UCL;;;;
15||Roučková, Ivana OPRAVA UCL;;;;
15||Eisenhammer, Milan OPRAVA UCL;;;;
15||Mohelský, David OPRAVA UCL;;;;
15||Bečvář, Martin;;;;
15||Stanislavčík, Tomáš OPRAVA UCL;;;;
15||Šimůnek, Jaroslav OPRAVA UCL;;;;
15||Čermáková, Olga OPRAVA UCL;;;;
15||Podskalská, Jana OPRAVA UCL;;;;
15||Šuleř, Oldřich OPRAVA UCL;;;;
15||Stulírová, Markéta;;;;
15||ČTK [Mladá fronta Dnes] OPRAVA UCL;;;;
15||kul [Lidové noviny] OPRAVA UCL;;;;
15||Šinkmajer, Ladislav;;;;
14||Barták, Karel OPRAVA UCL;;;;
14||Havlíčková, Michaela OPRAVA UCL;;;;
14||Kukuczka, Ervín OPRAVA UCL;;;;
14||Dvořák, Jan;;;;
14||Mížková, Markéta;;;;
14||Žížalová, Hana OPRAVA UCL;;;;
14||Picková, Miroslava OPRAVA UCL;;;;
14||zr [Právo] OPRAVA UCL;;;;
14||Skupová, Dana OPRAVA UCL;;;;
13||Kováříková, Gabriela;;;;
13||Míchal [Právo lidu];;;;
13||Posekaná, Dana OPRAVA UCL;;;;
13||jkt [Výběr z nejzajímavějších knih] OPRAVA UCL;;;;
13||Hekrlová, Růžena OPRAVA UCL;;;;
13||Valouch, František OPRAVA UCL;;;;
13||Redakce [Vaše Literatura];;;;
13||Zavřelová, Monika;;;;
13||Urbánková, Jarmila OPRAVA UCL;;;;
13||-red- [K Revue] OPRAVA UCL;;;;
13||Měšťan, Antonín OPRAVA UCL;;;;
13||Auředníček, Anna OPRAVA UCL;;;;
13||Stránská, Karolína;;;;
13||Molín, J.;;;;
13||Grimmová, Michaela OPRAVA UCL;;;;
12||zaj [Právo] OPRAVA UCL;;;;
12||Mráz, Zdeněk OPRAVA UCL;;;;
12||Gruna, Jan OPRAVA UCL;;;;
12||Hrdlička, Josef OPRAVA UCL;;;;
12||Marek, Michal OPRAVA UCL;;;;
12||Novák, Jaroslav OPRAVA UCL;;;;
12||Nový, Karel OPRAVA UCL;;;;
12||Kožík, František OPRAVA UCL;;;;
12||dd [Týden];;;;
12||Líkařová, Zdenka OPRAVA UCL;;;;
12||Hrušková, Leonka OPRAVA UCL;;;;
12||Kalousek, J.;;;;
12||Landová, Pavla OPRAVA UCL;;;;
12||Garažia, Milan OPRAVA UCL;;;;
12||Kúnová, Eva OPRAVA UCL;;;;
11||Tomeček, Jaromír OPRAVA UCL;;;;
11||Pincová, Zdeňka OPRAVA UCL;;;;
11||Dergam, Roman OPRAVA UCL;;;;
11||Urban, Zdeněk OPRAVA UCL;;;;
11||Šenk, Michal;;;;
11||Kotoulová, Yvona OPRAVA UCL;;;;
11||Probst, Vojtěch OPRAVA UCL;;;;
11||Kosová, Lenka OPRAVA UCL;;;;
11||Fialová, Zuzana OPRAVA UCL;;;;
11||Hejková, Kateřina OPRAVA UCL;;;;
11||Běleš, Petr OPRAVA UCL;;;;
11||Eisenhammer, Milan;;;;
11||Křížová, Eva OPRAVA UCL;;;;
11||Plavec, Jana;;;;
11||Zd. H. OPRAVA UCL;;;;
11||(čtk) [Hospodářské noviny] OPRAVA UCL;;;;
10||Brezovská, Katka;;;;
10||Bílková, Jitka OPRAVA UCL;;;;
10||Kutina, Jiří OPRAVA UCL;;;;
10||Ondroušková, Kateřina OPRAVA UCL;;;;
10||Rendlová, Jana OPRAVA UCL;;;;
10||Ježek, Jiří OPRAVA UCL;;;;
10||Frídová, Eva;;;;
10||Hrubešová, Eva OPRAVA UCL;;;;
10||Veselý, Josef OPRAVA UCL;;;;
10||Hanušková, Jana OPRAVA UCL;;;;
10||Rojík, Václav;;;;
10||Jaďuďová, Jaroslava;;;;
10||lei [Lidové noviny];;;;
10||Jáchimová, Pavlína;;;;
10||Prošková, Marcela OPRAVA UCL;;;;
10||Jašková, Kamila OPRAVA UCL;;;;
10||Pinnerová, Simona;;;;
10||Tůma, Martin OPRAVA UCL;;;;
9||Klevisová, Petra OPRAVA UCL;;;;
9||Houdek, Lukáš OPRAVA UCL;;;;
9||Buriánková, Olga;;;;
9||(ČTK) [Mladá fronta Dnes] OPRAVA UCL;;;;
9||Sigmundová, Lucie;;;;
9||Dostálová, Lenka;;;;
9||[značka Reguly Pragensis] [Lázeňský host (smz.)];;;;
9||Bakešová, Zdena OPRAVA UCL;;;;
9||Sulovská, Jarmila;;;;
9||(bd) [Naše rodina] OPRAVA UCL;;;;
9||Bartošová, M.;;;;
9||Dvořák, Karel OPRAVA UCL;;;;
9||Braunová, Dana;;;;
9||Konrádová, Petra OPRAVA UCL;;;;
9||Hloušková, Věra OPRAVA UCL;;;;
9||Toman, Jaroslav OPRAVA UCL;;;;
9||Kühnelová, Jana OPRAVA UCL;;;;
9||Hromádka, Milan OPRAVA UCL;;;;
9||Wohlhöfner, Vladimír OPRAVA UCL;;;;
9||Vodňanský, Jan OPRAVA UCL;;;;
9||Jelínek, Jan OPRAVA UCL;;;;
9||Drozdová, Zora OPRAVA UCL;;;;
9||(r) [Špígl] OPRAVA UCL;;;;
9||Pech, Karel OPRAVA UCL;;;;
9||Novák, Jan OPRAVA UCL;;;;
9||Novák, Jiří OPRAVA UCL;;;;
9||ENA [Fantasy Planet];;;;
9||Stuchlíková, Jitka OPRAVA UCL;;;;
9||Daehne, Michal OPRAVA UCL;;;;
9||Košek, Miroslav;;;;
9||(zr) [Právo];;;;
9||Krátká, Dagmar OPRAVA UCL;;;;
9||Chvátalová, Kateřina;;;;
8||Řeháková, Michaela OPRAVA UCL;;;;
8||Kozánková, Marta OPRAVA UCL;;;;
8||Veselý, Pavel OPRAVA UCL;;;;
8||racer [Knihovnice.cz];;;;
8||Poledňák, Ivan;;;;
8||Kýn, J.;;;;
8||Vrabcová, Markéta OPRAVA UCL;;;;
8||Táborská, Marika;;;;
8||Dienstbier, Jiří OPRAVA UCL;;;;
8||Černý, Jiří OPRAVA UCL;;;;
8||Líkařová, Zdena OPRAVA UCL;;;;
8||Maňourová, Lucie;;;;
8||šim [Večerní Praha] OPRAVA UCL;;;;
8||Rosen, Jakub OPRAVA UCL;;;;
8||Urban, Zdeněk;;;;
8||čtk [Večerník Praha] OPRAVA UCL;;;;
8||Novotná, Denisa OPRAVA UCL;;;;
8||Štěpánek, Jiří OPRAVA UCL;;;;
8||Štěpán, Miroslav,;;;;
8||Bláhová, Helena OPRAVA UCL;;;;
8||P [Kalendář (smz.)];;;;
8||Kovaříková, Gabriela;;;;
8||Strouhal, Josef OPRAVA UCL;;;;
8||Flanderková, Eva OPRAVA UCL;;;;
8||Kubíková, Blanka;;;;
8||Bartoš, M.;;;;
8||Zajíčková, Eva;;;;
8||(r) [Knihy 97] OPRAVA UCL;;;;
7||Kratzerová, Helena OPRAVA UCL;;;;
7||Brouček, Václav OPRAVA UCL;;;;
7||Novotný, Jan;;;;
7||Kováč, Peter OPRAVA UCL;;;;
7||Machová, Radka OPRAVA UCL;;;;
7||Chalupa, Pavel OPRAVA UCL;;;;
7||Kubalová, Věra OPRAVA UCL;;;;
7||Kučera, Ilja, ml. OPRAVA UCL;;;;
7||-dd- [Týden] OPRAVA UCL;;;;
7||Komendová, Naděžda OPRAVA UCL;;;;
7||Goldmann, Jakub;;;;
7||(čk) [Československý voják] OPRAVA UCL;;;;
7||Kozelek, Karel OPRAVA UCL;;;;
7||hol [Tvorba] OPRAVA UCL;;;;
7||Hlavatý, Pavel OPRAVA UCL;;;;
7||Vilím, Jan OPRAVA UCL;;;;
7||Kozlík, Petr;;;;
7||Kosík, Antonín OPRAVA UCL;;;;
7||Říha, Vladimír OPRAVA UCL;;;;
7||Miňovský, Pavel OPRAVA UCL;;;;
7||Hylmarová, Dana;;;;
7||Vévoda, Rudolf OPRAVA UCL;;;;
7||Sláma, Jiří OPRAVA UCL;;;;
7||Mášová, Milena OPRAVA UCL;;;;
7||Vaněk, J. OPRAVA UCL;;;;
7||Pašková, Věra OPRAVA UCL;;;;
7||Zapletalová, Lenka OPRAVA UCL;;;;
7||Filípková, Zuzana;;;;
7||kul [Lidové noviny];;;;
7||Fojtíková, Zuzana OPRAVA UCL;;;;
7||Macek, Jiří OPRAVA UCL;;;;
7||Havel, Josef OPRAVA UCL;;;;
7||Frýdová, Tereza;;;;
7||Melichová, Alena OPRAVA UCL;;;;
7||Netopilová, Lucie OPRAVA UCL;;;;
7||Uhlíř, Jiří OPRAVA UCL;;;;
7||Voříšek, Jiří OPRAVA UCL;;;;
7||Kulmiński, Robert;;;;
7||Svoboda, Jan OPRAVA UCL;;;;
7||Juříček, Rostislav OPRAVA UCL;;;;
7||k [Výběr z nejzajímavějších knih] OPRAVA UCL;;;;
7||Cieslarová, Eva;;;;
7||Švábová, Šárka;;;;
7||Bláha, Ondřej OPRAVA UCL;;;;
7||Tereza [Knihovnice.cz];;;;
7||Štěpán, Miroslav;;;;
7||Ferrario, Andrea;;;;
7||Rafaelová, Lenka;;;;
7||Havlín, Tomáš;;;;
6||Machová, Ilona OPRAVA UCL;;;;
6||Kováříková, Gabriela OPRAVA UCL;;;;
6||Malý, Ladislav OPRAVA UCL;;;;
6||Poláková, Helena OPRAVA UCL;;;;
6||Hadwiger, Julia;;;;
6||Dluhoschová, Pavla;;;;
6||Redakce [Sarden];;;;
6||(jin) [Naše rodina];;;;
6||Madunický, J. OPRAVA UCL;;;;
6||Vojtěchová, Aneta;;;;
6||Müller, Julius;;;;
6||Píša, Vladimír OPRAVA UCL;;;;
6||Kuba, Martin;;;;
6||Smetana, Jaroslav OPRAVA UCL;;;;
6||krk [Aktuálně.cz];;;;
6||Dohňanský, Tadeáš;;;;
6||Uherek, Zdeněk OPRAVA UCL;;;;
6||Jelínek, Jan;;;;
6||Tlučhoř, Jiří OPRAVA UCL;;;;
6||md [Večerník-Praha] OPRAVA UCL;;;;
6||Vaněk, Václav OPRAVA UCL;;;;
6||Marxtová, Jana;;;;
6||Hermann, Tomáš OPRAVA UCL;;;;
6||Konečná, Hana OPRAVA UCL;;;;
6||Vonderka, František OPRAVA UCL;;;;
6||Chudíková, Helena OPRAVA UCL;;;;
6||Rigo, Robin OPRAVA UCL;;;;
6||ČTK [Mladá Fronta Dnes] OPRAVA UCL;;;;
6||Dengler, Robert OPRAVA UCL;;;;
6||Lokvencová, Šárka OPRAVA UCL;;;;
6||Jurík, L'uboš OPRAVA UCL;;;;
6||(š) [Špígl] OPRAVA UCL;;;;
6||Hoštová, Vladimíra OPRAVA UCL;;;;
6||Svozílek, Martin;;;;
6||Theimerová, Věra OPRAVA UCL;;;;
6||Reis, Vladimír OPRAVA UCL;;;;
6||Janů, Kristina;;;;
6||Greš, Josef OPRAVA UCL;;;;
6||Hudeček, Václav OPRAVA UCL;;;;
6||Magdová, Marcela;;;;
6||Kottová, Alice;;;;
6||Černý, Karel OPRAVA UCL;;;;
6||Benešová, Ivana OPRAVA UCL;;;;
6||Svoboda, Milan OPRAVA UCL;;;;
6||Dvořáková, Jaroslava;;;;
6||Czaplinska, Joanna OPRAVA UCL;;;;
6||Píhová, Ivana OPRAVA UCL;;;;
6||-red- [Listy];;;;
6||Bartovský, Karel OPRAVA UCL;;;;
6||(ČTK) [Mladá Fronta Dnes] OPRAVA UCL;;;;
6||Hrnčárek, Jan OPRAVA UCL;;;;
6||rek [Rodina a škola] OPRAVA UCL;;;;
6||-ro- [Knihomol] OPRAVA UCL;;;;
6||Novotná, Kateřina OPRAVA UCL;;;;
6||Bučková, Tamara;;;;
6||Štěpánková, Vladimíra OPRAVA UCL;;;;
6||Kuba, Milan;;;;
6||Nečadová, Táňa;;;;
6||Losmanová, Mili;;;;
6||Fügner, Zdeněk;;;;
6||Československá liga pro lidská práva;;;;
6||Brandtová, Olga OPRAVA UCL;;;;
6||Novotný, Jiří;;;;
6||Holý, Petr OPRAVA UCL;;;;
6||Dokoupilová, Regina OPRAVA UCL;;;;
6||Postránecká, Barbora;;;;
6||Bartůšková, Jana OPRAVA UCL;;;;
6||Bumba, Jan;;;;
6||Rozehnalová, Ilona;;;;
6||Hejčová, Helena OPRAVA UCL;;;;
6||Coufalová, Ivana OPRAVA UCL;;;;
6||Vebr, Radek;;;;
6||Kheková, Zuzana OPRAVA UCL;;;;
6||Kovaříková, Gabriela OPRAVA UCL;;;;
6||Sršeň, Pavel;;;;
6||Rudý, Michal OPRAVA UCL;;;;
6||Lepší, V.;;;;
6||Michálková, Naďa OPRAVA UCL;;;;
6||bar [Reflex];;;;
6||Nováková, Zuzana OPRAVA UCL;;;;
6||a. j. [Prager Presse] OPRAVA UCL;;;;
6||Martínková, Zuzana OPRAVA UCL;;;;
6||(ek) [Špígl] OPRAVA UCL;;;;
6||Šimáňová, Jana OPRAVA UCL;;;;
6||es [Tvorba] OPRAVA UCL;;;;
5||Daňková, Magdaléna;;;;
5||Procházka, Karel OPRAVA UCL;;;;
5||Vyčichlo, Jaroslav OPRAVA UCL;;;;
5||Stehlík, Michal;;;;
5||Pokorný, Jakub OPRAVA UCL;;;;
5||Kovtun, Emil OPRAVA UCL;;;;
5||Stehlík, Michal OPRAVA UCL;;;;
5||wy [Reflex];;;;
5||Burešová, Jana OPRAVA UCL;;;;
5||Belásek, Martin OPRAVA UCL;;;;
5||Kasărova, Ljuba;;;;
5||Kafka, František OPRAVA UCL;;;;
5||Skrčená, Marie OPRAVA UCL;;;;
5||Skokanová, Eliška OPRAVA UCL;;;;
5||Geršl, Jiří;;;;
5||Procházková, Eva;;;;
5||Kudláčková, Helena;;;;
5||(jkk) [Slovo] OPRAVA UCL;;;;
5||Krehl, Birgit OPRAVA UCL;;;;
5||Krejčí, Marek OPRAVA UCL;;;;
5||Maixnerová, Hana OPRAVA UCL;;;;
5||Jeřábek, M. OPRAVA UCL;;;;
5||Vydrová, Michaela;;;;
5||Hulanová, Eva;;;;
5||Šnobl, Josef OPRAVA UCL;;;;
5||Lanžhotský, Martin OPRAVA UCL;;;;
5||Svoboda, Luděk OPRAVA UCL;;;;
5||Uhlíř, Jaroslav OPRAVA UCL;;;;
5||Nekolová, Jana;;;;
5||Bárt, Dominik;;;;
5||Lacinová, Gabriela OPRAVA UCL;;;;
5||Haderková, Eva OPRAVA UCL;;;;
5||Houfková, Kateřina;;;;
5||Havlíčková, Libuše OPRAVA UCL;;;;
5||Beránková, Jana OPRAVA UCL;;;;
5||A. J. [Prager Presse] OPRAVA UCL;;;;
5||Greš, Josef;;;;
5||Žáček, Zdeněk;;;;
5||Dušek, Jaroslav OPRAVA UCL;;;;
5||Gregorová, M. OPRAVA UCL;;;;
5||Šimonová, Alice;;;;
5||Cihelková, Barbora;;;;
5||Veselá, Milena OPRAVA UCL;;;;
5||Böhm, Václav OPRAVA UCL;;;;
5||Bartoň, Josef OPRAVA UCL;;;;
5||Šťástka, Viktor;;;;
5||(rep) [Mladá fronta Dnes] OPRAVA UCL;;;;
5||Kopš, Jaroslav OPRAVA UCL;;;;
5||Trojan, Jan;;;;
5||Papoušek, Jiří OPRAVA UCL;;;;
5||zah [Týden];;;;
5||vop [Týden];;;;
5||T. [Potemník revue (smz.)];;;;
5||Černý, Miloš OPRAVA UCL;;;;
5||Redakce OPRAVA UCL;;;;
5||Budil, Ivo OPRAVA UCL;;;;
5||Kořenský, Jan;;;;
5||Weber, Ladislav OPRAVA UCL;;;;
5||Kuchař, Jaroslav OPRAVA UCL;;;;
5||Syrovátka, Tomáš;;;;
5||-af- [Obrana lidu] OPRAVA UCL;;;;
5||Křížová, E. OPRAVA UCL;;;;
5||Borová, Vladimíra OPRAVA UCL;;;;
5||Jirásek, Zdeněk OPRAVA UCL;;;;
5||Bárta, Petr OPRAVA UCL;;;;
5||Procházková, Žaneta OPRAVA UCL;;;;
5||Frýbortová, Erika;;;;
5||Zajíc, Jiří OPRAVA UCL;;;;
5||Doležel, Jiří OPRAVA UCL;;;;
5||-ňuf-;;;;
5||(md) [Mladá fronta Dnes] OPRAVA UCL;;;;
5||Novotný, Oldřich OPRAVA UCL;;;;
5||spa [Reflex];;;;
5||Škureková, Marta OPRAVA UCL;;;;
5||čtk [Katolický týdeník] OPRAVA UCL;;;;
5||Podlezlová, Jitka;;;;
5||-JK- [Knižní novinky] OPRAVA UCL;;;;
5||Dankovič, Ivo OPRAVA UCL;;;;
5||Aran, Pavel OPRAVA UCL;;;;
5||Moravcová, Jana OPRAVA UCL;;;;
5||Mareš, František OPRAVA UCL;;;;
5||-jb- [Instinkt] OPRAVA UCL;;;;
5||Pet [Tvorba];;;;
5||Tesařová, Renata OPRAVA UCL;;;;
5||Šolcová, Liběna;;;;
5||Janoušová, Jaroslava OPRAVA UCL;;;;
5||Pelc, Vladimír OPRAVA UCL;;;;
5||Topič, Petr;;;;
5||ak [iRozhlas];;;;
5||Švandová, Ladislava OPRAVA UCL;;;;
5||Nováková, Martina OPRAVA UCL;;;;
5||Slavík, Ivo OPRAVA UCL;;;;
5||Kolář, Jan;;;;
5||kul [Mladá fronta Dnes] OPRAVA UCL;;;;
5||Drozdová, Vendula;;;;
5||Svoboda, Karel OPRAVA UCL;;;;
5||Šišma, Josef OPRAVA UCL;;;;
5||Kloudová, Pavla OPRAVA UCL;;;;
5||Bartošová, Alena;;;;
5||Sellnerová, Veronika;;;;
5||Dvořáková, Věra OPRAVA UCL;;;;
5||Matějková, Jana OPRAVA UCL;;;;
5||Kaiser, Vladimír OPRAVA UCL;;;;
5||Čechová, Hana OPRAVA UCL;;;;
5||Páclová, Dagmar OPRAVA UCL;;;;
5||(lb) [Knihy novinky];;;;
5||Staňková, Blanka OPRAVA UCL;;;;
5||Režný, Martin;;;;
4||Šedivý, Róbert;;;;
4||Steinbauerová, Jaroslava OPRAVA UCL;;;;
4||Slavíková, Helena OPRAVA UCL;;;;
4||Vabererová, Alena OPRAVA UCL;;;;
4||(eis) [Brněnský deník Rovnost] OPRAVA UCL;;;;
4||Kořenek, Josef OPRAVA UCL;;;;
4||Statečná, Ludmila OPRAVA UCL;;;;
4||Wysztygiel, Aneta;;;;
4||Poutník, Jan OPRAVA UCL;;;;
4||Konečný, Lubomír OPRAVA UCL;;;;
4||Bogolebska, Barbara OPRAVA UCL;;;;
4||Soukupová, Blanka OPRAVA UCL;;;;
4||Macháčková, Daniela OPRAVA UCL;;;;
4||Kratochvílová, Veronika;;;;
4||Musil, Jiří OPRAVA UCL;;;;
4||Doležalová, Barbora;;;;
4||Hruška, František;;;;
4||Kučerová, Eva OPRAVA UCL;;;;
4||Havlíková, Helena OPRAVA UCL;;;;
4||Plocková, Anna OPRAVA UCL;;;;
4||Čermáková, Dana OPRAVA UCL;;;;
4||Král, Pavel OPRAVA UCL;;;;
4||Burda, Jiří OPRAVA UCL;;;;
4||čtk [České slovo] OPRAVA UCL;;;;
4||Unruh, Richard OPRAVA UCL;;;;
4||Prouza, Vladislav OPRAVA UCL;;;;
4||Kaiserová, Jana;;;;
4||Noháčová, Helena OPRAVA UCL;;;;
4||Maksym-Benczew, Joanna;;;;
4||I. F. [Tvar] OPRAVA UCL;;;;
4||Nuslová, Pavlína OPRAVA UCL;;;;
4||Křeček, Jan;;;;
4||Linková, Marcela;;;;
4||Kopecká, Lenka;;;;
4||Kádnerová, Helena OPRAVA UCL;;;;
4||Dvořáková, Ludmila OPRAVA UCL;;;;
4||Žáková, Hana OPRAVA UCL;;;;
4||Dvořáková, Pavla OPRAVA UCL;;;;
4||Grus, Milan OPRAVA UCL;;;;
4||Wagnerová, Tamara OPRAVA UCL;;;;
