167||Nejedlý, Jan OPRAVA UCL;;;;1001	|a Nejedlý, Jan, |d 1971- |7 ola2003165587
153||Horák, Ondřej OPRAVA UCL;;;;1001	|a Horák, Ondřej, |d 1976- |7 js20020122074
149||Novotný, Vladimír OPRAVA UCL;;;;1001	|a Novotný, Vladimír, |d 1946- |7 jk01090794
133||Mlejnek, Josef OPRAVA UCL;;;;(více osob)
101||Šolcová, Liběna OPRAVA UCL;;;;není AUT
86||Zelenka, Miloš OPRAVA UCL;;;;1001	|a Zelenka, Miloš, |d 1961- |7 xx0005437
81||Červenka, Miroslav OPRAVA UCL;;;;?
69||Nový, Petr OPRAVA UCL;;;;pravděpodobně není AUT
57||Vacík, Miloš OPRAVA UCL;;;;1001	|a Vacík, Miloš, |d 1922-1999 |7 jk01140999
56||Skála, Ivan OPRAVA UCL;;;;1001	|a Skála, Ivan, |d 1922-1997 |7 jk01111412
55||Kundera, Ludvík OPRAVA UCL;;;;1001	|a Kundera, Ludvík, |d 1920-2010 |7 jk01070892
55||Dvořák, Jan OPRAVA UCL;;;;(více osob)
54||Žáček, Jiří OPRAVA UCL;;;;1001	|a Žáček, Jiří, |d 1945- |7 jk01152946
51||Kořán, Michal;;;;(redaktor Reflexu, grafik hudebnák?)
51||ČTK [Právo] OPRAVA UCL;;;;1102	|a Česká tisková kancelář |7 ko2003196051
50||Vomáčka, Josef;;;;(možná není aut, Reflex miér a pelmel)
46||Hruška, Petr OPRAVA UCL;;;;1001	|a Hruška, Petr, |d 1964- |7 jn19990209272
46||Svatoň, Vladimír OPRAVA UCL;;;;1001	|a Svatoň, Vladimír, |d 1931-2018 |7 jk01121856
45||tt [Reflex];;;;7000 a tt c [Reflex]
45||Nejtek, Vilém OPRAVA UCL;;;;1001	|a Nejtek, Vilém M., |d 1932- |7 jk01082983
44||Slavík, Ivan OPRAVA UCL;;;;1001	|a Slavík, Ivan, |d 1920-2002 |7 jk01111857
44||Šajtar, Jaroslav,;;;;není AUT
43||Rybák, Josef OPRAVA UCL;;;;1001	|a Rybák, Josef, |d 1904-1992 |7 jk01103251
42||Suchý, Jiří OPRAVA UCL;;;;1001	|a Suchý, Jiří, |d 1931 říjen 1.- |7 jk01121734
41||fr [Tvorba] OPRAVA UCL;;;;neodhalená šifra
41||Švandelík, Jan OPRAVA UCL;;;;7001 a  Švandelík, Jan 
39||Krausová, Marie OPRAVA UCL;;;;(více osob)
39||Kořán, Jáchym;;;;není AUT
39||Urbanec, Jiří OPRAVA UCL;;;;1001	|a Urbanec, Jiří, |d 1932-2014 |7 jk01140844
38||Pavlovský, Jakub;;;;není AUT
38||Kubíček, Jaromír OPRAVA UCL;;;;1001	|a Kubíček, Jaromír, |d 1938- |7 jn20000401527
37||red [K revue] OPRAVA UCL;;;;7000 a red c [K Revue]
36||dd [Týden] OPRAVA UCL;;;;7000 a dd c [Týden]
36||Paleček, V. V.;;;;1001	|a Paleček, Vladimír, |d 1922- |7 jn20000401928
35||Svoboda, Jiří OPRAVA UCL;;;;(více osob)
35||Dlouhá, Jana OPRAVA UCL;;;;7001 a Dlouhá, Jana
35||Horák, Oto;;;;není AUT
34||Hrdlička, František OPRAVA UCL;;;;1001	|a Hrdlička, František, |d 1937- |7 jk01042738
34||Černý, Václav OPRAVA UCL;;;;1001	|a Černý, Václav, |d 1905-1987 |7 jk01021636
34||Dvořáková, Martina OPRAVA UCL;;;;7001 a Dvořáková, Martina
32||Herman, Mik;;;;není AUT
32||Veselý, Petr OPRAVA UCL;;;;pravděpodobně není AUT
32||Vlasák, Zbyněk;;;;1001	|a Vlasák, Zbyněk, |d 1984- |7 xx0225049
29||Křivánek, Vladimír OPRAVA UCL;;;;1001	|a Křivánek, Vladimír, |d 1951- |7 jk01070112
29||Vlasák, Zbyněk OPRAVA UCL;;;;1001	|a Vlasák, Zbyněk, |d 1984- |7 xx0225049
29||Stehlíková, Eva OPRAVA UCL;;;;1001	|a Stehlíková, Eva, |d 1941-2019 |7 jk01121024
29||Švanda, Pavel OPRAVA UCL;;;;1001	|a Švanda, Pavel, |d 1936- |7 jk01131826
28||Skalička, Jiří OPRAVA UCL;;;;1001	|a Skalička, Jiří, |d 1922-1997 |7 jk01111466
28||Kopecká, Jaroslava OPRAVA UCL;;;;7001 a Kopecká, Jaroslava
28||Hrabák, Josef OPRAVA UCL;;;;1001	|a Hrabák, Josef, |d 1912-1987 |7 jk01042553
