BART, Ilja;http://slovnikceskeliteratury.cz/showContent.jsp?docId=908;* 17. 5. 1910;Chrudim;† 11. 11. 1973;Praha
BARTŮNĚK, Petr;http://slovnikceskeliteratury.cz/showContent.jsp?docId=670;* 21. 3. 1953;Litoměřice;;
BARTUŠEK, Antonín;http://slovnikceskeliteratury.cz/showContent.jsp?docId=904;* 11. 1. 1921;Želetava (u Třebíče);† 22. 4. 1974;Praha
BASIKOVÁ, Bára;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1206;* 17. 2. 1963;Praha;;
BÁSNICKÝ ALMANACH 1953-1959;http://slovnikceskeliteratury.cz/showContent.jsp?docId=71;1953 - 1959;;;
BÁSNICKÝ ALMANACH KLUBU PŘÁTEL POEZIE;http://slovnikceskeliteratury.cz/showContent.jsp?docId=72;1973 - 1974;;;
BAUER, Michal;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1345;* 28. 3. 1966;Znojmo;;
BEDNÁŘ, Jaroslav;http://slovnikceskeliteratury.cz/showContent.jsp?docId=907;* 28. 9. 1889;Vysoké Mýto;† 21. 1. 1976;Praha
BEDNÁŘ, Kamil;http://slovnikceskeliteratury.cz/showContent.jsp?docId=21;* 4. 7. 1912;Praha;† 23. 5. 1972;Mělník
BĚHOUNEK, František;http://slovnikceskeliteratury.cz/showContent.jsp?docId=671;* 28. 10. 1898;Praha;† 1. 1. 1973;Karlovy Vary
BEJBLÍK, Alois;http://slovnikceskeliteratury.cz/showContent.jsp?docId=347;* 2. 1. 1926;Praha;† 23. 6. 1990;Praha
BĚLOHRADSKÁ, Hana;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1207;* 12. 1. 1929;Praha;† 25. 2. 2005;Praha
BENEŠ, Jan;http://slovnikceskeliteratury.cz/showContent.jsp?docId=494;* 26. 3. 1936;Praha;† 1. 6. 2007;Obořiště u Příbrami
BENEŠ, Karel Josef;http://slovnikceskeliteratury.cz/showContent.jsp?docId=275;* 21. 2. 1896;Praha;† 27. 3. 1969;Rožmitál pod Třemšínem
BENHART, František;http://slovnikceskeliteratury.cz/showContent.jsp?docId=348;* 10. 9. 1924;Sevluš (Podkarpatská Rus, dnes Ukrajina);† 25. 12. 2006;Praha
BERKOVÁ, Alexandra;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1208;* 2. 7. 1949;Trenčín (Slovensko);† 16. 6. 2008;Praha
BERNARDINOVÁ, Eva;http://slovnikceskeliteratury.cz/showContent.jsp?docId=672;* 4. 11. 1931;Praha;† 12. 12. 2016;Praha
BERNÁŠKOVÁ, Alena;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1209;* 22. 5. 1920;Praha;† 7. 10. 2007;Brno
BEZDĚKOVÁ, Zdeňka;http://slovnikceskeliteratury.cz/showContent.jsp?docId=673;* 19. 4. 1907;České Budějovice;† 12. 8. 1999;České Budějovice
BIEBL, Konstantin;http://slovnikceskeliteratury.cz/showContent.jsp?docId=13;* 26. 2. 1898;Slavětín (u Loun);† 12. 11. 1951;Praha
