Hodnota CLO;Počet v.;Hodnota AUT;Šestý pád pro 678;Název pro 370 s ind.1;Podpole F;Najít údaj v ();Najít název města v A;Název města v C;Porovnání město A:C
Bergen-Belsen k.t. (Spolková republ. Německo);2;Bergen-Belsen (Německo)$$7xx0116111;xx;;;Spolková republ. Německo;Bergen-Belsen k.t.;Bergen-Belsen;NEPRAVDA
Bernatice (Šumperk);1;Bernartice (Jeseník, Česko)$$7ge388815;;;;Šumperk;Bernatice;Bernartice;NEPRAVDA
Beyern (Spolková republ. Německo);1;Bavorsko (Německo)$$7ge128725;;;;Spolková republ. Německo;Beyern;Bavorsko;NEPRAVDA
Beyreuth (Spolková republ. Německo);1;Bayreuth (Německo)$$7ge128727;;;;Spolková republ. Německo;Beyreuth;Bayreuth;NEPRAVDA
Bezdružice=Weseritz (Tachov);1;Bezdružice (Česko)$$7ge128629;;;;Tachov;Bezdružice=Weseritz;Bezdružice;NEPRAVDA
Biala (Polsko);6;Biała (Polsko)$$7ge484076;;;;Polsko;Biala;Biała;NEPRAVDA
Bielitz (Polsko);9;Bielsko-Biała (Polsko)$$7ge128763;;;;Polsko;Bielitz;Bielsko-Biała;NEPRAVDA
Bielsko ();1;Bielsko-Biała (Polsko)$$7ge128763;;;;;Bielsko;Bielsko-Biała;NEPRAVDA
Bielsko (Polsko);3;Bielsko-Biała (Polsko)$$7ge128763;;;;Polsko;Bielsko;Bielsko-Biała;NEPRAVDA
Bielsko-Biala (Polsko);2;Bielsko-Biała (Polsko)$$7ge128763;;;;Polsko;Bielsko-Biala;Bielsko-Biała;NEPRAVDA
Bílovice (Prostějov);4;Bílovice-Lutotín (Česko)$$7ge136963;;;;Prostějov;Bílovice;Bílovice-Lutotín;NEPRAVDA
Bílsko (Polsko);1;Bielsko-Biała (Polsko)$$7ge128763;;;;Polsko;Bílsko;Bielsko-Biała;NEPRAVDA
Bischofteinitz (Domažlice);1;Horšovský Týn (Česko)$$7ge129288;;;;Domažlice;Bischofteinitz;Horšovský Týn;NEPRAVDA
